               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.070582,             0.03554,          0.00092046,             0.44459,               0.334,             0.29509,            0.085963,            0.080672,            0.037002,           0.0082435,            0.004159,            0.004159,            0.004159
                 120,            0.070016,            0.037008,           0.0020075,             0.39582,              0.3589,             0.29776,            0.084391,            0.081744,             0.03727,            0.012914,           0.0041095,           0.0041095,           0.0041095
                 121,            0.071618,            0.035435,           0.0013413,             0.43231,             0.32718,             0.31237,            0.089939,            0.082443,             0.03762,             0.01439,             0.00406,             0.00406,             0.00406
                 122,            0.070801,            0.036534,           0.0009594,             0.38671,             0.34463,             0.29109,            0.085992,            0.082302,            0.037679,            0.013828,           0.0040105,           0.0040105,           0.0040105
                 123,            0.071031,            0.037332,          0.00090133,             0.42476,             0.34383,             0.31232,            0.084435,            0.082504,             0.03764,           0.0057891,            0.003961,            0.003961,            0.003961
                 124,            0.070138,            0.036616,          0.00068207,             0.43913,             0.32854,              0.3084,            0.086111,             0.08184,            0.037292,           0.0050224,           0.0039115,           0.0039115,           0.0039115
                 125,            0.070732,            0.035347,           0.0011246,             0.45447,             0.33953,             0.31403,             0.08912,            0.083091,            0.036541,           0.0052116,            0.003862,            0.003862,            0.003862
                 126,            0.070884,            0.035311,           0.0013122,             0.45778,             0.34195,             0.31876,            0.091468,            0.082582,             0.03698,           0.0048194,           0.0038125,           0.0038125,           0.0038125
                 127,            0.068668,            0.035066,          0.00079509,             0.42141,             0.35253,             0.31397,            0.094692,            0.081806,            0.037232,           0.0057089,            0.003763,            0.003763,            0.003763
                 128,            0.070206,            0.036229,           0.0007749,             0.35445,             0.37547,             0.30097,             0.08696,            0.082415,            0.037767,           0.0041797,           0.0037135,           0.0037135,           0.0037135
                 129,            0.067965,            0.035458,           0.0012944,             0.39457,              0.3363,             0.29172,            0.088959,            0.082584,             0.03787,           0.0076952,            0.003664,            0.003664,            0.003664
                 130,            0.068095,            0.037571,          0.00070781,             0.39933,             0.35658,             0.29327,            0.077548,            0.083768,            0.036745,           0.0069983,           0.0036145,           0.0036145,           0.0036145
                 131,            0.070469,            0.034508,          0.00080681,             0.43939,             0.34018,             0.31929,            0.088877,            0.083012,            0.036638,           0.0054752,            0.003565,            0.003565,            0.003565
                 132,            0.069347,            0.035767,          0.00075488,             0.43313,             0.31701,             0.29408,            0.083674,            0.082686,            0.036764,           0.0030446,           0.0035155,           0.0035155,           0.0035155
                 133,            0.067822,            0.035052,          0.00062146,             0.39101,             0.33906,             0.29028,            0.080143,            0.082154,            0.036883,           0.0057385,            0.003466,            0.003466,            0.003466
                 134,            0.070008,            0.036657,          0.00051439,             0.42994,             0.35572,             0.31792,            0.092148,            0.081664,            0.036732,           0.0056263,           0.0034165,           0.0034165,           0.0034165
                 135,            0.068674,            0.034635,          0.00048484,             0.38513,             0.33639,             0.29229,            0.086545,            0.080898,              0.0371,           0.0066226,            0.003367,            0.003367,            0.003367
                 136,            0.069533,            0.035207,           0.0012932,             0.37226,             0.35527,             0.28016,            0.082158,            0.081794,            0.037284,            0.006284,           0.0033175,           0.0033175,           0.0033175
                 137,            0.070152,            0.035053,          0.00064555,              0.4312,             0.35705,             0.31019,            0.085849,            0.082553,            0.037287,           0.0075377,            0.003268,            0.003268,            0.003268
                 138,             0.06916,            0.034375,           0.0011449,             0.46071,             0.31732,             0.30712,            0.087536,             0.08305,            0.037672,           0.0066535,           0.0032185,           0.0032185,           0.0032185
                 139,            0.066984,            0.035134,            0.000738,             0.42148,             0.31291,             0.29208,            0.089285,            0.082631,            0.037851,           0.0062563,            0.003169,            0.003169,            0.003169
                 140,            0.067933,            0.033158,          0.00061659,             0.35683,             0.35902,             0.28471,            0.085781,             0.08195,            0.037744,           0.0046999,           0.0031195,           0.0031195,           0.0031195
                 141,            0.067619,            0.033541,          0.00083541,             0.44628,              0.3193,             0.31093,            0.094899,            0.081348,            0.037358,           0.0058796,             0.00307,             0.00307,             0.00307
                 142,            0.067123,            0.034298,           0.0005897,             0.49528,             0.32055,             0.31488,            0.089637,            0.081973,            0.037614,           0.0061572,           0.0030205,           0.0030205,           0.0030205
                 143,            0.069604,            0.037443,          0.00093552,             0.45193,             0.33644,             0.29706,             0.08381,            0.083512,            0.037489,           0.0054633,            0.002971,            0.002971,            0.002971
                 144,            0.066946,             0.03474,           0.0012966,             0.42684,             0.33983,             0.30109,            0.084621,            0.084298,             0.03724,           0.0060149,           0.0029215,           0.0029215,           0.0029215
                 145,             0.06686,            0.037922,          0.00063426,             0.42359,             0.35258,             0.30726,            0.085024,            0.084085,            0.037606,           0.0057515,            0.002872,            0.002872,            0.002872
                 146,            0.068119,            0.034892,          0.00063453,             0.41485,             0.35365,              0.3078,            0.089142,             0.08341,            0.037244,            0.006421,           0.0028225,           0.0028225,           0.0028225
                 147,            0.067541,            0.035269,          0.00083413,             0.45923,             0.33295,             0.32371,            0.093629,            0.082846,            0.037119,           0.0057509,            0.002773,            0.002773,            0.002773
                 148,            0.067991,            0.035489,           0.0007079,             0.40522,             0.34246,             0.30461,            0.085951,            0.082255,            0.037294,           0.0061256,           0.0027235,           0.0027235,           0.0027235
                 149,            0.067932,             0.03596,           0.0008749,             0.49595,              0.3172,             0.31657,             0.09154,            0.082156,            0.037025,            0.006863,            0.002674,            0.002674,            0.002674
                 150,            0.066902,            0.034726,          0.00048998,             0.42146,             0.36175,             0.32098,            0.091462,            0.083301,            0.036922,            0.011218,           0.0026245,           0.0026245,           0.0026245
                 151,            0.065519,            0.033728,          0.00051251,             0.42326,             0.33962,             0.30493,            0.086487,            0.083984,            0.036736,           0.0095296,            0.002575,            0.002575,            0.002575
                 152,            0.067029,            0.034935,           0.0006934,             0.43648,             0.34968,             0.32042,            0.090931,            0.083005,            0.036614,            0.011038,           0.0025255,           0.0025255,           0.0025255
                 153,            0.067733,            0.035191,          0.00051927,             0.43439,             0.32931,             0.29993,            0.087015,            0.083397,            0.036999,            0.011649,            0.002476,            0.002476,            0.002476
                 154,            0.066273,            0.033543,          0.00040579,             0.42865,             0.35059,             0.29785,            0.086638,            0.083546,            0.037406,            0.010847,           0.0024265,           0.0024265,           0.0024265
                 155,            0.065433,            0.034087,          0.00067567,             0.46851,             0.34565,             0.31051,            0.090776,            0.083589,            0.036802,           0.0093569,            0.002377,            0.002377,            0.002377
                 156,            0.066367,             0.03493,           0.0005532,             0.41682,             0.34383,             0.30431,            0.084848,            0.084483,            0.036883,            0.006658,           0.0023275,           0.0023275,           0.0023275
